Country,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,Gov. Budget,Debt/GDP,Current Account,Population
United States,27361,3.10,4.50,2.70,4.20,-6.20,122.30,-3.00,335.89
China,17795,0.90,3.10,0.20,5.00,-5.80,83.40,1.50,1409.67
Euro Area,15545,0.40,3.15,2.20,6.30,-3.60,87.40,1.70,350.08
Germany,4456,0.10,3.15,2.20,6.10,-2.50,62.90,5.90,84.70
Japan,4213,0.30,0.25,2.90,2.50,-5.50,255.20,3.60,124.30
India,3550,1.10,6.50,5.48,8.00,-5.63,81.59,-1.20,1386.18
United Kingdom,3340,0.00,4.75,2.60,4.30,-4.40,97.60,-3.30,68.27
France,3031,0.40,3.15,1.30,7.40,-5.50,110.60,-1.00,68.14
Italy,2255,0.00,3.15,1.30,5.80,-7.20,134.60,0.00,58.99
Brazil,2174,0.90,12.25,4.87,6.10,-8.90,84.68,-1.42,216.28
Canada,2140,0.30,3.25,1.90,6.80,-1.40,107.50,-0.60,40.80
Russia,2021,-0.80,21.00,8.90,2.30,-1.90,14.90,2.50,146.40
Mexico,1789,1.10,10.00,4.55,2.60,-5.00,49.70,-1.50,128.46
Australia,1724,0.30,4.35,2.80,3.90,0.90,43.80,-1.60,26.97
South Korea,1713,0.10,3.00,1.90,2.70,-2.60,51.50,1.30,51.71
Spain,1581,0.80,3.15,2.80,11.21,-3.60,107.70,2.70,48.59
Indonesia,1371,1.50,6.00,1.57,4.91,-1.65,39.30,-0.30,278.70
Netherlands,1118,0.80,3.15,4.00,3.70,-0.90,46.80,9.90,17.94
Turkey,1108,-0.20,47.50,44.38,8.80,-5.20,29.50,-4.00,85.37
Saudi Arabia,1068,0.90,5.00,2.00,3.70,-2.00,30.00,5.90,32.18
Switzerland,885,0.40,0.50,0.70,2.60,0.50,38.30,7.60,8.96
Poland,811,-0.10,5.75,4.80,5.00,-5.10,49.60,1.80,36.62
Taiwan,757,1.08,2.00,2.08,3.41,-0.50,28.20,11.80,23.42
Argentina,641,3.90,32.00,166.00,6.90,-2.90,155.40,-0.60,46.66
Belgium,632,0.30,3.15,3.16,5.80,-4.20,103.10,-0.70,11.83
Sweden,593,0.30,2.50,1.60,7.40,-0.60,31.50,6.50,10.55
Ireland,546,3.50,3.15,1.00,4.10,1.70,43.70,8.10,5.34
Austria,516,-0.10,3.15,1.90,8.30,-2.70,77.80,1.30,9.16
Thailand,515,1.20,2.25,0.95,1.02,-2.80,61.90,-0.20,66.05
Israel,510,0.10,4.50,3.40,2.70,-6.90,62.00,5.00,9.84
United Arab Emirates,504,2.00,4.40,3.01,2.95,4.50,32.40,9.30,9.52
Singapore,501,0.10,2.31,1.60,1.90,-1.60,167.80,19.80,5.92
Norway,486,-1.80,4.50,2.40,3.70,16.30,44.30,17.50,5.49
Philippines,437,1.70,5.75,2.50,3.90,-6.20,60.10,-1.30,111.90
Bangladesh,437,6.03,10.00,11.38,4.20,5.00,31.70,0.70,170.80
Vietnam,430,6.88,4.50,2.77,2.24,-4.00,37.10,0.20,100.30
Denmark,404,0.90,2.60,1.60,2.60,3.10,29.30,9.80,5.93
Iran,402,,23.00,34.50,7.50,-5.50,30.60,3.40,85.30
Malaysia,400,1.80,3.00,1.80,3.20,-5.00,61.10,2.70,33.40
Egypt,396,9.80,27.25,25.50,6.70,-7.10,95.80,-1.20,105.90
Hong Kong,382,-1.10,4.75,1.40,3.10,-5.00,38.40,7.10,7.50
South Africa,378,-0.30,7.75,2.90,32.10,-4.90,72.20,-1.60,62.20
Colombia,364,0.20,9.50,5.20,8.20,-4.20,54.30,-2.70,52.22
Nigeria,363,10.00,27.50,34.60,4.30,-6.10,38.80,-0.30,223.80
Romania,351,-0.10,6.50,5.10,5.40,-5.60,48.80,-7.00,19.06
Pakistan,338,5.79,13.00,4.10,5.70,-7.70,91.00,-0.20,240.49
Chile,336,0.70,5.00,4.20,8.20,-2.50,39.40,-3.60,19.96
Czech Republic,331,0.50,4.00,2.80,3.90,-3.70,44.00,0.20,10.88
Finland,300,0.30,3.15,1.00,8.10,-2.70,75.80,-0.40,5.60
Portugal,287,0.20,3.15,3.00,6.60,1.20,99.10,1.40,10.64
Peru,268,1.20,5.00,1.97,5.70,-1.70,33.00,0.60,33.73
Kazakhstan,261,1.26,15.25,8.40,4.60,-2.30,22.80,-3.30,20.03
New Zealand,253,-1.00,4.25,2.20,4.80,-2.40,39.30,-6.90,5.31
Iraq,251,,7.50,3.10,15.60,-7.70,49.20,-1.90,45.50
Algeria,240,3.20,3.00,5.52,11.81,-3.00,55.10,2.90,45.61
Greece,238,0.30,3.15,2.40,9.60,-1.60,161.90,-6.20,10.40
Qatar,236,1.90,5.10,0.83,0.10,5.60,43.30,17.10,2.97
Hungary,212,-0.70,6.50,3.70,4.70,-6.70,73.40,0.80,9.60
Ukraine,179,0.20,13.50,11.20,10.50,-20.30,84.40,-5.70,41.21
Ethiopia,164,,7.00,16.90,18.90,-2.70,38.00,-2.40,126.53
Kuwait,162,4.70,4.00,2.36,2.10,14.00,3.40,30.30,4.91
